Date,Data,Error
2015-01-01,0.7975,0.1349
2015-01-17,0.7501,0.1694
2015-02-02,0.6646,0.2265
2015-02-18,0.7735,0.1218
2015-03-06,0.786,0.0562
2015-03-22,0.8397,0.0471
2015-04-07,0.8019,0.0847
2015-04-23,0.6841,0.2491
2015-05-09,0.8104,0.1555
2015-05-25,0.8522,0.0645
2015-06-10,0.8497,0.0457
2015-06-26,0.8677,0.0571
2015-07-12,0.8596,0.0576
2015-07-28,0.8434,0.0549
2015-08-13,0.6812,0.2472
2015-08-29,0.8124,0.1894
2015-09-14,0.6747,0.2806
2015-09-30,0.5535,0.3076
2015-10-16,0.8603,0.0741
2015-11-01,0.7906,0.2085
2015-11-17,0.8677,0.0641
2015-12-03,0.4896,0.282
2015-12-19,0.8581,0.0779
2016-01-01,0.4269,0.2916
2016-01-17,0.6653,0.3016
2016-02-02,0.8316,0.0364
2016-02-18,0.5689,0.2553
2016-03-05,0.6858,0.2341
2016-03-21,0.666,0.2222
2016-04-06,0.8215,0.0507
2016-04-22,0.5934,0.2793
2016-05-08,0.5155,0.2982
2016-05-24,0.8581,0.0918
2016-06-09,0.8613,0.0754
2016-06-25,0.7713,0.2338
